ts,observer,event,slot,hash,issuer_vkey,body_size,n_txs
2026-05-16T15:19:37Z,dugite-relay,recv,284,7bae836084b3f563aa976ff126f88ff7ba4f30382970e202d9d0422ca7cbe72e,,,
2026-05-16T15:19:38.002176Z,cardano-bp,forge,286,50abd182a16eefd75c2cc81e1270e1a8939a000016a84371f19820aef4b581e0,,,
2026-05-16T15:19:38.003069Z,cardano-bp,recv,286,50abd182a16eefd75c2cc81e1270e1a8939a000016a84371f19820aef4b581e0,,,
2026-05-16T15:19:38.003561Z,cardano-bp,forge,286,50abd182a16eefd75c2cc81e1270e1a8939a000016a84371f19820aef4b581e0,,,
2026-05-16T15:19:39Z,dugite-bp,forge,287,4fd796d8e9b28e57d7685af571ebf0aa21ae2a99bad07bc6ecea89d14b4ee61e,,,
2026-05-16T15:19:39Z,dugite-relay,recv,287,4fd796d8e9b28e57d7685af571ebf0aa21ae2a99bad07bc6ecea89d14b4ee61e,,,
2026-05-16T15:19:41Z,dugite-relay,recv,286,50abd182a16eefd75c2cc81e1270e1a8939a000016a84371f19820aef4b581e0,,,
2026-05-16T15:19:42Z,dugite-bp,recv,286,50abd182a16eefd75c2cc81e1270e1a8939a000016a84371f19820aef4b581e0,,,
2026-05-16T15:19:52.003001Z,cardano-bp,forge,300,ac957546f11d4f0689c0ad9b118edc02c7464354c4a4f70c532395ab8334173b,,,
2026-05-16T15:19:52.004192Z,cardano-bp,recv,300,ac957546f11d4f0689c0ad9b118edc02c7464354c4a4f70c532395ab8334173b,,,
2026-05-16T15:19:52.004693Z,cardano-bp,forge,300,ac957546f11d4f0689c0ad9b118edc02c7464354c4a4f70c532395ab8334173b,,,
2026-05-16T15:19:53Z,dugite-relay,recv,300,ac957546f11d4f0689c0ad9b118edc02c7464354c4a4f70c532395ab8334173b,,,
2026-05-16T15:19:54Z,dugite-bp,recv,300,ac957546f11d4f0689c0ad9b118edc02c7464354c4a4f70c532395ab8334173b,,,
2026-05-16T15:20:03.00391Z,cardano-bp,forge,311,30601f9892084dfd4b7c9db45e96b95c65777c591ba5442e2f9954ae7420f40f,,,
2026-05-16T15:20:03.004907Z,cardano-bp,recv,311,30601f9892084dfd4b7c9db45e96b95c65777c591ba5442e2f9954ae7420f40f,,,
2026-05-16T15:20:03.00536Z,cardano-bp,forge,311,30601f9892084dfd4b7c9db45e96b95c65777c591ba5442e2f9954ae7420f40f,,,
