ts,node,slot,block_no,hash,era
2026-05-16T15:19:38Z,relay,284,38,7bae836084b3f563aa976ff126f88ff7ba4f30382970e202d9d0422ca7cbe72e,Conway
2026-05-16T15:19:38Z,dugite-bp,284,38,7bae836084b3f563aa976ff126f88ff7ba4f30382970e202d9d0422ca7cbe72e,Conway
2026-05-16T15:19:38Z,cardano-bp,286,39,50abd182a16eefd75c2cc81e1270e1a8939a000016a84371f19820aef4b581e0,Conway
2026-05-16T15:19:43Z,relay,286,39,50abd182a16eefd75c2cc81e1270e1a8939a000016a84371f19820aef4b581e0,Conway
2026-05-16T15:19:43Z,dugite-bp,286,39,50abd182a16eefd75c2cc81e1270e1a8939a000016a84371f19820aef4b581e0,Conway
2026-05-16T15:19:43Z,cardano-bp,286,39,50abd182a16eefd75c2cc81e1270e1a8939a000016a84371f19820aef4b581e0,Conway
2026-05-16T15:19:48Z,relay,286,39,50abd182a16eefd75c2cc81e1270e1a8939a000016a84371f19820aef4b581e0,Conway
2026-05-16T15:19:48Z,dugite-bp,286,39,50abd182a16eefd75c2cc81e1270e1a8939a000016a84371f19820aef4b581e0,Conway
2026-05-16T15:19:48Z,cardano-bp,286,39,50abd182a16eefd75c2cc81e1270e1a8939a000016a84371f19820aef4b581e0,Conway
2026-05-16T15:19:54Z,relay,300,40,ac957546f11d4f0689c0ad9b118edc02c7464354c4a4f70c532395ab8334173b,Conway
2026-05-16T15:19:54Z,dugite-bp,300,40,ac957546f11d4f0689c0ad9b118edc02c7464354c4a4f70c532395ab8334173b,Conway
2026-05-16T15:19:54Z,cardano-bp,300,40,ac957546f11d4f0689c0ad9b118edc02c7464354c4a4f70c532395ab8334173b,Conway
2026-05-16T15:19:59Z,relay,300,40,ac957546f11d4f0689c0ad9b118edc02c7464354c4a4f70c532395ab8334173b,Conway
2026-05-16T15:19:59Z,dugite-bp,300,40,ac957546f11d4f0689c0ad9b118edc02c7464354c4a4f70c532395ab8334173b,Conway
2026-05-16T15:19:59Z,cardano-bp,300,40,ac957546f11d4f0689c0ad9b118edc02c7464354c4a4f70c532395ab8334173b,Conway
2026-05-16T15:20:04Z,relay,311,41,30601f9892084dfd4b7c9db45e96b95c65777c591ba5442e2f9954ae7420f40f,Conway
2026-05-16T15:20:04Z,dugite-bp,311,41,30601f9892084dfd4b7c9db45e96b95c65777c591ba5442e2f9954ae7420f40f,Conway
2026-05-16T15:20:04Z,cardano-bp,311,41,30601f9892084dfd4b7c9db45e96b95c65777c591ba5442e2f9954ae7420f40f,Conway
2026-05-16T15:20:09Z,relay,311,41,30601f9892084dfd4b7c9db45e96b95c65777c591ba5442e2f9954ae7420f40f,Conway
2026-05-16T15:20:09Z,dugite-bp,311,41,30601f9892084dfd4b7c9db45e96b95c65777c591ba5442e2f9954ae7420f40f,Conway
2026-05-16T15:20:09Z,cardano-bp,311,41,30601f9892084dfd4b7c9db45e96b95c65777c591ba5442e2f9954ae7420f40f,Conway
2026-05-16T15:20:14Z,relay,311,41,30601f9892084dfd4b7c9db45e96b95c65777c591ba5442e2f9954ae7420f40f,Conway
2026-05-16T15:20:14Z,dugite-bp,311,41,30601f9892084dfd4b7c9db45e96b95c65777c591ba5442e2f9954ae7420f40f,Conway
2026-05-16T15:20:14Z,cardano-bp,311,41,30601f9892084dfd4b7c9db45e96b95c65777c591ba5442e2f9954ae7420f40f,Conway
2026-05-16T15:20:19Z,relay,324,42,2fede9a40462029aa98641f494fa5eb1db91a29d80dd10b879c4318a52c479a7,Conway
2026-05-16T15:20:19Z,dugite-bp,324,42,2fede9a40462029aa98641f494fa5eb1db91a29d80dd10b879c4318a52c479a7,Conway
2026-05-16T15:20:19Z,cardano-bp,324,42,2fede9a40462029aa98641f494fa5eb1db91a29d80dd10b879c4318a52c479a7,Conway
2026-05-16T15:20:25Z,relay,329,43,b6085ebfa3fbfa21b4cd9af43ce09a14b7626a45c22da4a46ea559f8e0d28ea8,Conway
2026-05-16T15:20:25Z,dugite-bp,329,43,b6085ebfa3fbfa21b4cd9af43ce09a14b7626a45c22da4a46ea559f8e0d28ea8,Conway
2026-05-16T15:20:25Z,cardano-bp,332,44,4dc2ea2df882b4bd3e7643a6d8e7cd12f1fa17ce4519389eef7b67b9eb4e55b8,Conway
2026-05-16T15:20:30Z,relay,336,46,35eedd070446572107aa4b85bc35139fa3a4fc397e01f22b6ec91582862d5eef,Conway
2026-05-16T15:20:30Z,dugite-bp,336,46,35eedd070446572107aa4b85bc35139fa3a4fc397e01f22b6ec91582862d5eef,Conway
2026-05-16T15:20:30Z,cardano-bp,336,46,35eedd070446572107aa4b85bc35139fa3a4fc397e01f22b6ec91582862d5eef,Conway
2026-05-16T15:20:35Z,relay,343,47,be60c4b84207f20102c06b8ebf7a7ab95ab96db1ac18b8f54adb2e186c8e1b89,Conway
